degree,method,time_mean,time_median,time_std,res_mean,res_median,res_std,success_rate
3,aberth,0.001182,0.001175,0.000032,6.566e-16,4.003e-16,4.986e-16,1.00
3,dk,0.000120,0.000119,0.000004,7.068e-16,4.743e-16,5.537e-16,1.00
3,hybrid,0.004854,0.004902,0.000077,5.945e-16,4.743e-16,4.955e-16,1.00
5,aberth,0.002865,0.002953,0.000205,2.895e-15,2.887e-15,1.668e-15,1.00
5,dk,0.000309,0.000304,0.000041,2.903e-15,2.811e-15,1.553e-15,1.00
5,hybrid,0.008000,0.008113,0.000482,2.373e-15,1.831e-15,1.283e-15,1.00
8,aberth,0.008010,0.008090,0.000907,4.518e-14,4.151e-14,1.399e-14,1.00
8,dk,0.001251,0.001239,0.000203,4.194e-14,3.633e-14,1.556e-14,1.00
8,hybrid,0.017367,0.016979,0.002176,5.358e-14,3.163e-14,4.035e-14,1.00
